Generation,ID,Heuristic Lesser,Heuristic Greater,Snake Midpoint,Snake Multipler,Zombie Midpoint,Zombie Multiplier,Barrier Midpoint,Barrier Multiplier,Game 1 Average Time,Game 1 Average Score,Game 1 Longest,Game 1 Fitness,Game 2 Average Time,Game 2 Average Score,Game 2 Longest,Game 2 Fitness, Game 3 Average Time,Game 3 Average Score,Game 3 Longest,Game 3 Fitness,Average Time,Average Score,Average Longest, Average Fitness,
1,0,131.537828,0.007826,755.605550,458.650270,532.767398,218.959252,47.044630,678.864921,6.129516,8.399582,15.000000,3.884749,5.426977,9.330544,20.000000,12.833524,5.287616,6.598326,15.000000,2.778955,5.614703,8.109484,16.666667,5.422579
1,1,7.698189,671.149586,383.415766,66.842258,417.486100,686.772919,588.976820,930.436775,0.643854,18.438912,45.000000,4811.947469,0.637766,27.151046,68.000000,36344.507067,0.559692,11.332636,30.000000,619.550421,0.613770,18.974198,47.666667,6352.801107
1,2,526.928936,846.167145,91.964918,653.919159,415.999482,701.190806,910.321105,762.198269,0.632760,19.949791,45.000000,5731.588986,0.709258,25.437238,70.000000,31291.741401,0.579722,14.540167,30.000000,984.652665,0.640580,19.975732,48.333333,7033.512764
1,3,934.693178,679.296610,383.502193,519.416529,830.965596,34.572121,53.461651,529.700353,0.802750,33.393305,85.000000,85309.094761,0.536563,10.864017,30.000000,593.913972,0.646295,27.152720,65.000000,31328.221467,0.661870,23.803347,60.000000,18490.873018

2,0,131.537828,0.007826,755.605550,458.650270,532.767398,218.959252,47.044630,678.864921,5.423089,8.123431,20.000000,9.734693,5.549391,9.307531,20.000000,12.488597,4.988853,6.698745,15.000000,3.035707,5.320444,8.043236,18.333333,7.492694
2,1,69.618009,335.578706,191.711796,262.746264,475.126749,452.866085,49.848027,804.650848,2.610704,13.658996,30.000000,192.949474,2.607876,10.753138,20.000000,35.471009,2.025895,15.163180,35.000000,486.595119,2.414825,13.191771,28.333333,163.913060
2,2,7.698189,671.149586,383.415766,66.842258,417.486100,686.772919,588.976820,930.436775,0.596518,19.954393,45.000000,6082.627984,0.676077,28.364017,60.000000,25703.546212,0.598835,17.092050,50.000000,6098.050069,0.623810,21.803487,51.666667,10510.682255
2,3,69.618009,335.578706,191.711796,262.746264,475.126749,452.866085,318.010725,804.650848,0.604954,26.359833,60.000000,24809.428033,0.658578,30.064854,60.000000,29645.901553,0.625965,23.152720,80.000000,43845.359247,0.629832,26.525802,66.666667,33100.778975

1,0,131.537828,0.007826,755.605550,458.650270,532.767398,218.959252,47.044630,678.864921,5.889242,10.343096,20.000000,14.532212,5.333231,8.364017,15.000000,4.427037,6.027480,11.815900,20.000000,18.530529,5.749984,10.174338,18.333333,11.093534
1,1,408.766817,983.305393,141.819814,564.898851,252.126482,488.514697,464.030668,961.095430,0.593773,19.876569,55.000000,11070.076319,0.619079,12.734728,38.000000,1437.421023,0.624247,15.043933,35.000000,1554.427942,0.612366,15.885077,42.666667,3200.615783
1,2,147.533048,499.741183,587.186800,845.575914,590.108788,955.409114,556.146306,148.151607,0.552038,10.469456,30.000000,536.096965,0.593219,18.112971,55.000000,9201.374034,0.667757,30.489540,60.000000,30070.228852,0.604338,19.690656,48.333333,7244.038851
1,3,125.365413,827.817550,15.867706,688.455509,868.247393,629.543608,736.224736,725.412217,0.727036,23.826360,50.000000,9760.440914,0.654782,18.456067,40.000000,3329.365431,0.646723,24.322176,50.000000,11433.950887,0.676181,22.201534,46.666667,7408.386970
1,4,888.572481,999.458180,233.194949,306.321923,351.015354,513.273857,591.113761,845.981815,0.698816,19.573640,55.000000,9121.541886,0.657804,18.652720,50.000000,6611.468452,0.609298,18.644351,50.000000,7131.404313,0.655306,18.956904,51.666667,7563.486612
1,5,199.757260,126.030844,319.249770,629.269346,126.712197,651.253938,621.634213,803.073238,0.612138,20.418410,40.000000,4358.875213,0.579300,18.039749,50.000000,7022.106904,0.676343,28.880753,65.000000,33868.054470,0.622594,22.446304,51.666667,11161.340250
1,6,982.550582,247.038960,722.660619,753.356062,651.518771,72.685905,631.634908,884.707395,0.555792,15.135983,60.000000,8903.536149,0.643195,25.799163,70.000000,35494.628575,0.587608,18.841423,55.000000,10051.435247,0.595532,19.925523,61.666667,15633.853606
1,7,890.737750,554.584015,624.849480,842.039866,159.767571,212.751579,714.710183,130.427301,0.646111,26.491632,55.000000,18071.661325,0.611006,23.820084,60.000000,20058.342855,0.559553,21.799582,50.000000,10616.109672,0.605557,24.037099,55.000000,15874.404679
1,8,274.588231,90.990364,2.999602,414.293388,26.876299,709.819807,937.897582,239.910877,0.851865,32.525105,60.000000,26823.790728,0.782530,20.525105,45.000000,4905.769772,0.782011,27.766109,65.000000,27074.288978,0.805469,26.938773,56.666667,16394.182777
1,9,841.510893,412.080895,269.317353,415.394741,537.304137,467.917509,287.212458,178.327758,0.584476,13.811715,35.000000,1399.369933,0.670547,26.364017,60.000000,22389.663430,0.738965,32.550209,80.000000,73409.781085,0.664663,24.241980,58.333333,17550.330660
1,10,47.464528,262.453073,736.082106,328.234325,632.638758,756.410714,991.037684,365.338781,0.598007,18.765690,50.000000,7360.934461,0.642022,15.173640,45.000000,3267.886029,0.737169,32.596234,95.000000,123577.326138,0.659066,22.178522,63.333333,18959.781343
1,11,7.698189,671.149586,383.415766,66.842258,417.486100,686.772919,588.976820,930.436775,0.598057,23.801255,65.000000,26013.404124,0.644765,26.904184,58.000000,21903.936552,0.651177,20.234310,60.000000,13580.987364,0.631333,23.646583,61.000000,20103.317987
